epoch,loss,policy_loss,kl_penalty,reward_mean,reward_std,clip_fraction,approx_kl,advantage_mean,grad_norm,adv_saturation,adv_zero_rate,group_size,trained_prompt_num,r_ocr
111,0.000058,0.000002,0.001416,0.5635,0.3383,0.0816,0.000000,0.000000,0.002108,0.0000,0.0156,8.00,722,0.5635
112,0.000078,0.000015,0.001554,0.7002,0.2875,0.1424,0.000000,0.000000,0.004458,0.0000,0.0000,8.00,730,0.7002
113,0.000076,0.000008,0.001703,0.5855,0.3238,0.1131,0.000000,0.000000,0.004825,0.0000,0.1406,8.00,738,0.5855
114,0.000084,0.000013,0.001757,0.5525,0.3312,0.0920,0.000000,0.000000,0.002347,0.0000,0.0000,8.00,746,0.5525
115,0.000087,0.000002,0.002121,0.5526,0.3353,0.0764,0.000000,-0.000000,0.003724,0.0000,0.0156,8.00,754,0.5526
116,0.000086,0.000022,0.001584,0.4006,0.3623,0.1310,0.000000,-0.000000,0.002577,0.0000,0.1250,8.00,761,0.4006
117,0.000071,0.000015,0.001403,0.5304,0.3970,0.0615,0.000000,0.000000,0.001601,0.0000,0.1250,8.00,768,0.5304
118,0.000059,-0.000002,0.001523,0.6986,0.2905,0.0642,0.000000,0.000000,0.001643,0.0000,0.0000,8.00,776,0.6986
119,0.000075,0.000007,0.001711,0.6628,0.2620,0.1007,0.000000,-0.000000,0.003409,0.0000,0.0000,8.00,783,0.6628
120,0.000109,0.000035,0.001856,0.5131,0.3479,0.1270,0.000000,-0.000000,0.004724,0.0000,0.1250,8.00,791,0.5131
121,0.000071,0.000010,0.001534,0.4519,0.3110,0.0794,0.000000,-0.000000,0.003629,0.0000,0.1406,8.00,798,0.4519
122,0.000071,0.000005,0.001653,0.5688,0.3293,0.0694,0.000000,0.000000,0.001304,0.0000,0.0156,8.00,806,0.5688
123,0.000073,0.000005,0.001699,0.5703,0.2825,0.0660,0.000000,-0.000000,0.002044,0.0000,0.0312,8.00,813,0.5703
124,0.000079,0.000007,0.001788,0.5317,0.3109,0.0747,0.000000,0.000000,0.001733,0.0000,0.0156,8.00,821,0.5317
125,0.000067,0.000004,0.001578,0.5652,0.3679,0.0573,0.000000,0.000000,0.001469,0.0000,0.0000,8.00,829,0.5652
126,0.000072,-0.000000,0.001798,0.4903,0.3616,0.0463,0.000000,-0.000000,0.003141,0.0000,0.2969,8.00,837,0.4903
127,0.000067,0.000006,0.001506,0.5680,0.3134,0.0625,0.000000,-0.000000,0.001791,0.0000,0.0156,8.00,845,0.5680
128,0.000079,0.000015,0.001614,0.4924,0.2709,0.0573,0.000000,0.000000,0.035582,0.0000,0.1250,8.00,852,0.4924
129,0.000082,0.000016,0.001653,0.6481,0.2989,0.2083,0.000000,-0.000000,0.001672,0.0000,0.0156,8.00,860,0.6481
130,0.000078,0.000013,0.001619,0.6428,0.3085,0.1667,0.000000,-0.000000,0.002820,0.0000,0.0000,8.00,868,0.6428
131,0.000082,0.000015,0.001686,0.6575,0.2952,0.0816,0.000000,0.000000,0.002545,0.0000,0.0312,8.00,875,0.6575
132,0.000071,0.000005,0.001645,0.5530,0.3499,0.0833,0.000000,0.000000,0.002417,0.0000,0.0312,8.00,883,0.5530
133,0.000079,0.000012,0.001683,0.7140,0.2512,0.1441,0.000000,-0.000000,0.004369,0.0000,0.0000,8.00,891,0.7140
134,0.000085,0.000014,0.001775,0.6134,0.3096,0.1233,0.000000,0.000000,0.004038,0.0000,0.0000,8.00,899,0.6134
135,0.000080,0.000007,0.001837,0.6570,0.2618,0.1181,0.000000,-0.000000,0.002012,0.0000,0.0469,8.00,907,0.6570
136,0.000081,0.000011,0.001751,0.6599,0.3463,0.1146,0.000000,0.000000,0.005448,0.0000,0.0312,8.00,914,0.6599
137,0.000068,0.000007,0.001531,0.5545,0.3317,0.0833,0.000000,0.000000,0.004979,0.0000,0.0000,8.00,921,0.5545
138,0.000076,0.000009,0.001674,0.4665,0.3630,0.0635,0.000000,-0.000000,0.004370,0.0000,0.1406,8.00,929,0.4665
139,0.000079,0.000007,0.001811,0.4928,0.3393,0.0677,0.000000,0.000000,0.002251,0.0000,0.0000,8.00,936,0.4928
140,0.000067,0.000003,0.001579,0.4654,0.3411,0.0799,0.000000,-0.000000,0.001395,0.0000,0.0000,8.00,944,0.4654
141,0.000074,0.000004,0.001763,0.4634,0.3600,0.0476,0.000000,0.000000,0.001835,0.0000,0.1562,8.00,951,0.4634
142,0.000071,0.000003,0.001698,0.6591,0.2852,0.0694,0.000000,-0.000000,0.002579,0.0000,0.0312,8.00,959,0.6591
143,0.000070,0.000006,0.001607,0.6118,0.3238,0.0642,0.000000,0.000000,0.002783,0.0000,0.0000,8.00,967,0.6118
144,0.000064,0.000003,0.001545,0.4531,0.3293,0.0712,0.000000,0.000000,0.001584,0.0000,0.0469,8.00,975,0.4531
145,0.000067,0.000004,0.001563,0.6356,0.3649,0.0437,0.000000,-0.000000,0.001860,0.0000,0.1250,8.00,982,0.6356
146,0.000068,0.000002,0.001660,0.4956,0.3070,0.0556,0.000000,0.000000,0.003427,0.0000,0.0000,8.00,989,0.4956
147,0.000075,0.000018,0.001413,0.6758,0.2669,0.0972,0.000000,0.000000,0.006308,0.0000,0.0000,8.00,996,0.6758
148,0.000061,0.000001,0.001504,0.4669,0.3455,0.0694,0.000000,0.000000,0.001240,0.0000,0.0312,8.00,1004,0.4669
149,0.000071,0.000002,0.001712,0.5955,0.3044,0.0521,0.000000,-0.000000,0.002303,0.0000,0.0000,8.00,1011,0.5955
150,0.000065,0.000000,0.001627,0.3870,0.4462,0.0579,0.000000,-0.000000,0.001139,0.0000,0.2500,8.00,1019,0.3870
151,0.000079,0.000006,0.001814,0.6400,0.3024,0.0868,0.000000,-0.000000,0.002213,0.0000,0.0000,8.00,1027,0.6400
152,0.000068,0.000001,0.001696,0.4615,0.3448,0.0635,0.000000,0.000000,0.001610,0.0000,0.1719,8.00,1034,0.4615
153,0.000094,0.000018,0.001907,0.7158,0.2456,0.1181,0.000000,-0.000000,0.003411,0.0000,0.0000,8.00,1041,0.7158
154,0.000077,0.000011,0.001637,0.4887,0.3648,0.0920,0.000000,0.000000,0.003178,0.0000,0.0000,8.00,1049,0.4887
155,0.000065,0.000002,0.001556,0.6516,0.3170,0.0590,0.000000,0.000000,0.001796,0.0000,0.0000,8.00,1057,0.6516
156,0.000073,0.000001,0.001793,0.6014,0.3321,0.0642,0.000000,-0.000000,0.001873,0.0000,0.0000,8.00,1063,0.6014
157,0.000074,0.000005,0.001729,0.5290,0.3740,0.0521,0.000000,0.000000,0.001956,0.0000,0.0156,8.00,1069,0.5290
158,0.000066,-0.000000,0.001650,0.4895,0.3769,0.0486,0.000000,0.000000,0.001132,0.0000,0.0625,8.00,1077,0.4895
159,0.000084,0.000014,0.001740,0.6755,0.2802,0.1510,0.000000,0.000000,0.004680,0.0000,0.0000,8.00,1085,0.6755
160,0.000072,0.000002,0.001734,0.4376,0.4045,0.0655,0.000000,0.000000,0.001893,0.0000,0.1719,8.00,1093,0.4376
161,0.000066,0.000002,0.001596,0.6564,0.3135,0.0660,0.000000,-0.000000,0.001562,0.0000,0.0000,8.00,1101,0.6564
162,0.000071,0.000008,0.001589,0.5553,0.3720,0.0642,0.000000,-0.000000,0.003207,0.0000,0.0156,8.00,1109,0.5553
163,0.000080,0.000012,0.001704,0.6834,0.2657,0.0990,0.000000,-0.000000,0.002807,0.0000,0.0000,8.00,1115,0.6834
164,0.000077,0.000010,0.001661,0.5568,0.3392,0.1233,0.000000,0.000000,0.002994,0.0000,0.0156,8.00,1123,0.5568
165,0.000081,0.000004,0.001932,0.4914,0.3950,0.0675,0.000000,0.000000,0.001617,0.0000,0.1406,8.00,1131,0.4914
166,0.000095,0.000029,0.001655,0.6707,0.2829,0.1406,0.000000,0.000000,0.005381,0.0000,0.0000,8.00,1138,0.6707
167,0.000077,0.000010,0.001664,0.5668,0.3958,0.0868,0.000000,-0.000000,0.002024,0.0000,0.0938,8.00,1146,0.5668
168,0.000062,0.000000,0.001537,0.6305,0.3025,0.0642,0.000000,0.000000,0.001539,0.0000,0.0000,8.00,1153,0.6305
169,0.000067,0.000004,0.001572,0.6269,0.2467,0.0538,0.000000,-0.000000,0.002790,0.0000,0.0000,8.00,1160,0.6269
170,0.000061,0.000006,0.001374,0.6981,0.2703,0.0747,0.000000,-0.000000,0.001856,0.0000,0.0000,8.00,1167,0.6981
171,0.000065,-0.000001,0.001650,0.6906,0.3063,0.0451,0.000000,-0.000000,0.001800,0.0000,0.0000,8.00,1175,0.6906
172,0.000068,0.000002,0.001668,0.7024,0.2654,0.0434,0.000000,0.000000,0.001554,0.0000,0.0156,8.00,1183,0.7024
